"Phage","Host","EOP","EOP_bin"
"15-10","28-2",0,"[0,2.22e-16)"
"15-11","28-2",0,"[0,2.22e-16)"
"22-1","28-2",0,"[0,2.22e-16)"
"22-2","28-2",0,"[0,2.22e-16)"
"22-3","28-2",0.06666667,"[2.22e-16,0.2)"
"22-4","28-2",0.06,"[2.22e-16,0.2)"
"22-5","28-2",0.12,"[2.22e-16,0.2)"
"22-6","28-2",0.125,"[2.22e-16,0.2)"
"22-7","28-2",0.66666667,"[0.6,0.8)"
"22-8","28-2",0.00933333,"[2.22e-16,0.2)"
"22-9","28-2",0.008,"[2.22e-16,0.2)"
"22-10","28-2",0.13333333,"[2.22e-16,0.2)"
"22-11","28-2",0.08,"[2.22e-16,0.2)"
"28-1","28-2",0,"[0,2.22e-16)"
"28-2","28-2",0,"[0,2.22e-16)"
"28-3","28-2",0,"[0,2.22e-16)"
"28-4","28-2",0,"[0,2.22e-16)"
"28-5","28-2",0,"[0,2.22e-16)"
"28-6","28-2",0,"[0,2.22e-16)"
"28-7","28-2",0,"[0,2.22e-16)"
"28-8","28-2",0,"[0,2.22e-16)"
"28-9","28-2",0,"[0,2.22e-16)"
"28-10","28-2",0,"[0,2.22e-16)"
"28-11","28-2",0,"[0,2.22e-16)"
"8-1","28-3",0,"[0,2.22e-16)"
"8-2","28-3",0,"[0,2.22e-16)"
"8-3","28-3",0,"[0,2.22e-16)"
"8-4","28-3",0,"[0,2.22e-16)"
"8-5","28-3",0,"[0,2.22e-16)"
"8-6","28-3",0,"[0,2.22e-16)"
"8-7","28-3",0,"[0,2.22e-16)"
"8-8","28-3",0,"[0,2.22e-16)"
"8-9","28-3",0,"[0,2.22e-16)"
"8-10","28-3",0,"[0,2.22e-16)"
"8-11","28-3",0,"[0,2.22e-16)"
"15-1","28-3",0,"[0,2.22e-16)"
"15-2","28-3",0,"[0,2.22e-16)"
"15-3","28-3",0.032,"[2.22e-16,0.2)"
"15-4","28-3",0.05,"[2.22e-16,0.2)"
"15-5","28-3",0,"[0,2.22e-16)"
"15-6","28-3",0.05,"[2.22e-16,0.2)"
"15-7","28-3",0,"[0,2.22e-16)"
"15-8","28-3",0,"[0,2.22e-16)"
"15-9","28-3",0,"[0,2.22e-16)"
"15-10","28-3",0,"[0,2.22e-16)"
"15-11","28-3",0.75,"[0.6,0.8)"
"22-1","28-3",0,"[0,2.22e-16)"
"22-2","28-3",0,"[0,2.22e-16)"
"22-3","28-3",0,"[0,2.22e-16)"
"22-4","28-3",0,"[0,2.22e-16)"
"22-5","28-3",0,"[0,2.22e-16)"
"22-6","28-3",0,"[0,2.22e-16)"
"22-7","28-3",0.26666667,"[0.2,0.4)"
"22-8","28-3",0,"[0,2.22e-16)"
"22-9","28-3",0.00342857,"[2.22e-16,0.2)"
"22-10","28-3",0.06666667,"[2.22e-16,0.2)"
"22-11","28-3",0.5,"[0.4,0.6)"
"28-1","28-3",0.02,"[2.22e-16,0.2)"
"28-2","28-3",0.04666667,"[2.22e-16,0.2)"
